Experiment Id
Time and Date
FrameId	Timestamp	HeadX	HeadY	HeadZ	ShoulderCenterX	ShoulderCenterY	ShoulderCenterZ	SpineX	SpineY	SpineZ	HipCenterX	HipCenterY	HipCenterZ	ShoulderLeftX	ShoulderLeftY	ShoulderLeftZ	ElbowLeftX	ElbowLeftY	ElbowLeftZ	WristLeftX	WristLeftY	WristLeftZ	HandLeftX	HandLeftY	HandLeftZ	ShoulderRightX	ShoulderRightY	ShoulderRightZ	ElbowRightX	ElbowRightY	ElbowRightZ	WristRightX	WristRightY	WristRightZ	HandRightX	HandRightY	HandRightZ	HipLeftX	HipLeftY	HipLeftZ	KneeLeftX	KneeLeftY	KneeLeftZ	AnkleLeftX	AnkleLeftY	AnkleLeftZ	FootLeftX	FootLeftY	FootLeftZ	HipRightX	HipRightY	HipRightZ	KneeRightX	KneeRightY	KneeRightZ	AnkleRightX	AnkleRightY	AnkleRightZ	FootRightX	FootRightY	FootRightZ	AngleWristElbowShoulderRight	AngleShoulderElbowRightToBody	AngleShoulderElbowRightToY	AngleElbowWristRightToY	LinearWristRight5IncFrames	LinearWristRight10IncFrames	LinearWristRight20IncFrames	LinearWristRight5GapFrames	LinearWristRight10GapFrames	LinearWristRight20GapFrames	LinearElbowRight5IncFrames	LinearElbowRight10IncFrames	LinearElbowRight20IncFrames	LinearElbowRight5GapFrames	LinearElbowRight10GapFrames	LinearElbowRight20GapFrames	Marker
1	0	-0.04598884	0.3821454	1.185359	-0.0502123	0.2170587	1.225708	-0.05659657	-0.08602344	1.219146	-0.05760794	-0.136445	1.168522	-0.2164677	0.1229449	1.232359	-0.3273683	-0.079916	1.263843	-0.3050218	-0.2607501	1.203026	-0.2943004	-0.3198549	1.179752	0.1125615	0.1153515	1.232828	0.2400824	-0.01487722	1.257943	0.1689894	-0.03801366	1.039703	0.15699	-0.06031095	0.9704722	-0.1316463	-0.2078995	1.157723	-0.3207416	-0.5406152	1.194331	-0.4729271	-0.8083876	1.209921	-0.5017773	-0.8437521	1.134264	0.01329111	-0.2107186	1.150828	0.1927259	-0.5298083	1.260515	0.3371365	-0.7866144	1.334919	0.3760177	-0.8379236	1.274401	74.23210502416937	46.5822274946751	44.943150485393645	84.24401298278862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	false
2	32	-0.04607587	0.3821221	1.185246	-0.05022033	0.2170526	1.225683	-0.05660464	-0.086016	1.219144	-0.05762004	-0.1364373	1.168521	-0.2166331	0.1229329	1.232345	-0.3273422	-0.07993732	1.263784	-0.3050117	-0.2606601	1.203048	-0.2943735	-0.3196459	1.179796	0.1125527	0.1153107	1.232787	0.2398077	-0.01485862	1.258252	0.1688924	-0.03790894	1.039864	0.1568858	-0.06010368	0.9706416	-0.1316714	-0.2079016	1.15772	-0.3205023	-0.540723	1.194297	-0.4724371	-0.8085139	1.209853	-0.5012409	-0.843886	1.13422	0.01328765	-0.2107182	1.15083	0.1929779	-0.5295492	1.260684	0.3375582	-0.7860832	1.335199	0.3765035	-0.8373751	1.274754	74.14990445496628	46.54677410618416	44.91372419156113	84.26742340993272	0.006723928120894536	0.006723928120894536	0.006723928120894536	0.006723928120894536	0.006723928120894536	0.006723928120894536	0.012933387404912693	0.012933387404912693	0.012933387404912693	0.012933387404912693	0.012933387404912693	0.012933387404912693	false
3	64	-0.04616532	0.3819829	1.185153	-0.05019206	0.2170518	1.225666	-0.05663412	-0.08603693	1.219136	-0.05767025	-0.136471	1.168513	-0.2167195	0.1229185	1.232314	-0.3274183	-0.07994467	1.263756	-0.2916119	-0.2755098	1.19239	-0.3155331	-0.3332629	1.177471	0.1125562	0.1152101	1.232743	0.239094	-0.01563096	1.257769	0.1607561	-0.07114384	1.0097	0.1587109	-0.04492252	0.9510611	-0.1317834	-0.2079486	1.157727	-0.3197687	-0.5412338	1.194059	-0.4709857	-0.8093313	1.209406	-0.4996305	-0.8447382	1.133767	0.01321248	-0.2108032	1.150804	0.141745	-0.5644242	1.223578	0.2451377	-0.8488799	1.268241	0.2693558	-0.8974672	1.198612	79.55827565799117	46.215479745407535	44.59156438318902	77.95417444285718	0.7160786340525053	0.7160786340525053	0.7160786340525053	0.7101345164307725	0.7101345164307725	0.7101345164307725	0.024548307761831523	0.024548307761831523	0.024548307761831523	0.019611301869971974	0.019611301869971974	0.019611301869971974	false
4	96	-0.04623496	0.3821402	1.184855	-0.05019636	0.2170575	1.225625	-0.05667411	-0.08603915	1.219123	-0.0577189	-0.1364793	1.168503	-0.2167747	0.1229539	1.232289	-0.3274689	-0.0798816	1.263725	-0.3031057	-0.2599309	1.202476	-0.2946716	-0.3191851	1.179129	0.1125013	0.1152061	1.232716	0.2376526	-0.0168888	1.257441	0.1598342	-0.07251203	1.009413	0.1580851	-0.04595328	0.9509419	-0.1318347	-0.2079579	1.157731	-0.3196952	-0.541265	1.194034	-0.4707743	-0.8093135	1.209349	-0.4993865	-0.8447162	1.133734	0.01314041	-0.210806	1.150794	0.1960729	-0.526235	1.26434	0.3431889	-0.7799059	1.341775	0.383409	-0.83148	1.282513	79.94401763012313	45.61599286162894	44.0017296812155	77.92213908699514	0.49482928000350485	0.49482928000350485	0.49482928000350485	0.4876334530318072	0.4876334530318072	0.4876334530318072	0.036584015948949285	0.036584015948949285	0.036584015948949285	0.033272056529513316	0.033272056529513316	0.033272056529513316	false
5	132	-0.04628254	0.3821774	1.184738	-0.05019337	0.2170638	1.225606	-0.05666653	-0.08604062	1.219113	-0.05772373	-0.1364826	1.168493	-0.2168544	0.1229474	1.232261	-0.3275317	-0.07985954	1.26371	-0.3033642	-0.2598321	1.202564	-0.2952893	-0.3190326	1.179017	0.1123077	0.1152335	1.232603	0.2371467	-0.01699345	1.257286	0.1678208	-0.03889827	1.038474	0.1568822	-0.06042405	0.9717092	-0.1318375	-0.2079596	1.157726	-0.3451227	-0.5243437	1.201347	-0.5166062	-0.7787197	1.222535	-0.54976	-0.812325	1.148002	0.01313429	-0.2108004	1.150784	0.1368381	-0.5667544	1.220505	0.2362973	-0.8529451	1.262678	0.2593157	-0.9011896	1.19249	74.70902063593637	45.50969197362711	43.90245544524587	84.54861928663954	0.70189527438799	0.70189527438799	0.70189527438799	0.014490509013661336	0.014490509013661336	0.014490509013661336	0.030692633271047473	0.030692633271047473	0.030692633271047473	0.027864387032109195	0.027864387032109195	0.027864387032109195	false
6	164	-0.04630807	0.3822329	1.184634	-0.05019362	0.2170632	1.2256	-0.05667198	-0.08603746	1.219111	-0.05773629	-0.1364782	1.168492	-0.2170091	0.1229478	1.232266	-0.3275794	-0.07985523	1.263713	-0.3033948	-0.2596987	1.202586	-0.2953849	-0.3188914	1.179059	0.1122685	0.1152459	1.232575	0.2373557	-0.01669042	1.256917	0.1682076	-0.03929061	1.038355	0.1573117	-0.06093688	0.9717045	-0.1318573	-0.2079571	1.157723	-0.3497705	-0.5208229	1.202966	-0.5249321	-0.7723088	1.225448	-0.5589575	-0.8055467	1.151182	0.01312385	-0.2108007	1.150785	0.136816	-0.5667095	1.220506	0.2362414	-0.8527938	1.262663	0.2592445	-0.9010264	1.192503	74.92692614018648	45.60417134365287	44.00544832634228	84.36954007074435	0.7045353378314921	0.5683770139855219	0.5683770139855219	0.016345114427935334	0.012284605454618883	0.012284605454618883	0.03150589494248943	0.02788199103271836	0.02788199103271836	0.025296701531153667	0.02092384346237448	0.02092384346237448	false
7	197	-0.04641489	0.3818691	1.184427	-0.05019258	0.2170385	1.225593	-0.05668289	-0.08603138	1.219108	-0.05775243	-0.1364622	1.168487	-0.2171475	0.1228995	1.232244	-0.327655	-0.07978491	1.263672	-0.3036219	-0.2595279	1.202585	-0.2955226	-0.3187011	1.179102	0.1122612	0.1152402	1.232561	0.2376173	-0.0161768	1.257131	0.1684155	-0.04001233	1.038827	0.1575606	-0.06185903	0.972687	-0.13188	-0.2079543	1.157717	-0.351942	-0.5190951	1.20383	-0.5287879	-0.7691336	1.226999	-0.5632301	-0.8022051	1.152889	0.01310982	-0.2107869	1.150775	0.1943367	-0.5283044	1.261066	0.3399739	-0.7834674	1.33581	0.3792252	-0.8345385	1.275616	75.02155845550949	45.774557905511436	44.187413009646754	84.05800437486927	0.36294634405550774	0.4776695245621466	0.4776695245621466	0.3256793152034838	0.011453894864423216	0.011453894864423216	0.02719098652061733	0.026332451289336662	0.026332451289336662	0.012772283372407543	0.014733908218464736	0.014733908218464736	false
8	228	-0.04636594	0.3818872	1.184322	-0.0501419	0.2170517	1.225559	-0.05669202	-0.08603235	1.219099	-0.05777207	-0.1364694	1.168476	-0.217189	0.1228918	1.23222	-0.3277606	-0.07975029	1.263636	-0.3037912	-0.2593823	1.202592	-0.295567	-0.3185371	1.179168	0.112225	0.1151732	1.232521	0.2406655	-0.01287221	1.257555	0.1638404	-0.06893028	1.010038	0.1558137	-0.06981634	0.9974672	-0.1319161	-0.2079616	1.157708	-0.3540202	-0.5174734	1.204433	-0.5324641	-0.7661427	1.228084	-0.5672681	-0.7990158	1.154094	0.01307254	-0.2108004	1.150761	0.1943073	-0.5282505	1.261067	0.3399156	-0.7832974	1.335799	0.3791585	-0.8343514	1.275633	79.4531767867531	47.21206629718296	45.62227869813752	77.79482484298599	0.6640760910199249	0.5928142758551165	0.5928142758551165	0.04098561620752143	0.1892767118127969	0.1892767118127969	0.04690253698515013	0.042557896548855036	0.042557896548855036	0.03804777278795961	0.009315003425740718	0.009315003425740718	false
9	260	-0.04642793	0.3819608	1.184271	-0.05013726	0.2170737	1.225548	-0.05672236	-0.08600762	1.219097	-0.05780458	-0.1364433	1.168475	-0.2172498	0.1228712	1.232206	-0.3278709	-0.07976767	1.263633	-0.3040584	-0.2592967	1.202616	-0.2955542	-0.3183981	1.17922	0.1122198	0.1152996	1.232577	0.2405609	-0.01277709	1.257303	0.168032	-0.0467641	1.042531	0.158154	-0.06806427	0.9874008	-0.1319489	-0.2079524	1.157714	-0.3548054	-0.5168257	1.204648	-0.5338107	-0.7649224	1.228454	-0.5687341	-0.7977148	1.154523	0.01302448	-0.2107688	1.150754	0.1389056	-0.5657164	1.220656	0.2400172	-0.8508215	1.26291	0.2634099	-0.8988547	1.192865	75.83340227040307	47.16326924695427	45.5810783058171	81.47323676199484	0.6411548394436412	0.6719922910307721	0.6719922910307721	0.06916385380846718	0.035560682146132	0.035560682146132	0.04641190882886884	0.03843135354566723	0.03843135354566723	0.04238577703456929	0.008642392648670066	0.008642392648670066	false
10	296	-0.04651049	0.382135	1.184203	-0.05012155	0.2170585	1.225542	-0.05675999	-0.08601388	1.219094	-0.05786353	-0.1364469	1.168471	-0.2173497	0.1228327	1.232197	-0.3278756	-0.07983183	1.263603	-0.2944264	-0.2665764	1.195761	-0.3076753	-0.3265039	1.177242	0.1122132	0.1152677	1.232569	0.2391945	-0.01420756	1.256673	0.1633102	-0.06973977	1.009091	0.1569453	-0.06996309	0.9956799	-0.1320667	-0.2079838	1.157736	-0.3363965	-0.5304043	1.198639	-0.5004814	-0.7893208	1.21759	-0.5319706	-0.823531	1.142803	0.01294167	-0.2107818	1.150718	0.1383775	-0.5659018	1.220334	0.2391075	-0.8510773	1.262343	0.2623883	-0.8990635	1.192269	79.99983051917434	46.52391969977298	44.94985018858122	77.89617768114707	0.926896554623503	0.7282573496754324	0.7282573496754324	0.3220826510837073	0.15017239273229907	0.15017239273229907	0.056784893298022	0.040771123124002426	0.040771123124002426	0.023479123470814746	0.005703069874980254	0.005703069874980254	false
