experimentId
2013.07.02 17:46:54
FrameId	Timestamp	HeadX	HeadY	HeadZ	ShoulderCenterX	ShoulderCenterY	ShoulderCenterZ	SpineX	SpineY	SpineZ	HipCenterX	HipCenterY	HipCenterZ	ShoulderLeftX	ShoulderLeftY	ShoulderLeftZ	ElbowLeftX	ElbowLeftY	ElbowLeftZ	WristLeftX	WristLeftY	WristLeftZ	HandLeftX	HandLeftY	HandLeftZ	ShoulderRightX	ShoulderRightY	ShoulderRightZ	ElbowRightX	ElbowRightY	ElbowRightZ	WristRightX	WristRightY	WristRightZ	HandRightX	HandRightY	HandRightZ	HipLeftX	HipLeftY	HipLeftZ	KneeLeftX	KneeLeftY	KneeLeftZ	AnkleLeftX	AnkleLeftY	AnkleLeftZ	FootLeftX	FootLeftY	FootLeftZ	HipRightX	HipRightY	HipRightZ	KneeRightX	KneeRightY	KneeRightZ	AnkleRightX	AnkleRightY	AnkleRightZ	FootRightX	FootRightY	FootRightZ	Marker1	Marker2	Marker3	Marker4	Marker5
129232	0	-0.2972833	0.8514938	2.285272	-0.2445849	0.6696095	2.319415	-0.2557277	0.2823979	2.33691	-0.2577111	0.2047934	2.344186	-0.406084	0.5670795	2.440497	-0.436537	0.3638551	2.527918	-0.4382102	0.1439436	2.598939	-0.4445091	0.1184666	2.606129	-0.1052458	0.5343046	2.28372	-0.0226638	0.2467797	2.244622	-0.01592078	-0.01624196	2.168022	-0.01787454	-0.1113574	2.131342	-0.3279075	0.1305649	2.370096	-0.315882	-0.5094799	2.450801	-0.2854346	-0.8808263	2.458123	-0.2894401	-0.9336847	2.38377	-0.1910957	0.1344869	2.321993	-0.1349885	-0.5365595	2.368741	-0.07614218	-0.8953193	2.487953	-0.004214853	-0.9574957	2.445545	0	0	0	0	0
129233	32	-0.2971019	0.8517772	2.286512	-0.2445932	0.6693934	2.319664	-0.2549564	0.2822738	2.337836	-0.2567359	0.2047487	2.345262	-0.4062423	0.5670758	2.440806	-0.4367877	0.3641093	2.528599	-0.4385084	0.1442178	2.599598	-0.4447994	0.1183122	2.606958	-0.105224	0.5343207	2.283805	-0.01813757	0.2490939	2.239837	-0.00697888	-0.01580221	2.155362	-0.01220797	-0.1091648	2.11923	-0.326789	0.1304099	2.371149	-0.3160586	-0.5102107	2.450957	-0.2854709	-0.8808973	2.458329	-0.289919	-0.9339823	2.385258	-0.1898778	0.1345036	2.323355	-0.1352517	-0.5369002	2.369154	-0.0767388	-0.8953383	2.487647	-0.004130043	-0.9571993	2.445922	0	0	0	0	0
129234	68	-0.2960582	0.8523784	2.286459	-0.244646	0.6698083	2.319974	-0.2545789	0.2826132	2.338716	-0.256286	0.2050719	2.34625	-0.4063239	0.5678187	2.441412	-0.4368607	0.3647997	2.529063	-0.4389915	0.1451264	2.60054	-0.4452088	0.1167842	2.608721	-0.1052674	0.5343892	2.283899	-0.01503956	0.2528608	2.234273	-0.001973377	-0.01508901	2.148714	-0.008318816	-0.1068646	2.110527	-0.3262573	0.1308956	2.37232	-0.3160948	-0.5102886	2.450968	-0.2855916	-0.8807664	2.458504	-0.291299	-0.9338465	2.386263	-0.1893796	0.1347616	2.32435	-0.135238	-0.5361984	2.369076	-0.07754301	-0.8955379	2.487698	-0.004426464	-0.9569125	2.446118	0	0	0	0	0
129235	100	-0.2965357	0.8522894	2.287112	-0.2449064	0.6697938	2.320722	-0.2544382	0.2824363	2.339754	-0.2560954	0.2048757	2.347302	-0.4061184	0.5677518	2.441352	-0.436647	0.3648055	2.529083	-0.4393969	0.1454267	2.601223	-0.4455215	0.113288	2.61073	-0.1053103	0.5343816	2.283921	-0.0134405	0.2537722	2.232554	0.001631744	-0.01140608	2.14464	-0.00432753	-0.1025828	2.10493	-0.3258596	0.1306949	2.373705	-0.3159145	-0.5108129	2.451265	-0.2855607	-0.880828	2.458425	-0.2910856	-0.9338032	2.386327	-0.1892864	0.1347802	2.32506	-0.1352516	-0.5361492	2.369054	-0.0763347	-0.8955083	2.487529	-0.003924564	-0.9573622	2.445406	0	0	0	0	0
129236	136	-0.29635	0.852405	2.287441	-0.2448702	0.6697599	2.32086	-0.2541971	0.2824891	2.340064	-0.255831	0.204961	2.347624	-0.4060581	0.5677098	2.441325	-0.4368404	0.3648472	2.529088	-0.4398771	0.1456353	2.601578	-0.4459705	0.1114035	2.61183	-0.1051809	0.5344856	2.284024	-0.01158657	0.252633	2.230617	0.003050934	-0.01048986	2.142423	-0.00361152	-0.100772	2.103239	-0.3255544	0.1307279	2.374047	-0.3158961	-0.5108092	2.451219	-0.2855286	-0.8805036	2.458046	-0.2917049	-0.9336535	2.386796	-0.1890467	0.13489	2.325352	-0.1354296	-0.5365695	2.369289	-0.07434873	-0.8978657	2.488628	-0.003532053	-0.9579151	2.445174	0	0	0	0	0
129237	168	-0.2972265	0.8508449	2.288354	-0.2447144	0.6686087	2.322109	-0.2537095	0.2810689	2.340937	-0.2553241	0.2035132	2.348384	-0.4035535	0.5670525	2.439656	-0.4305401	0.3597086	2.520195	-0.4342891	0.1410634	2.594011	-0.4402514	0.1061103	2.604245	-0.1051412	0.5338421	2.283826	-0.01125945	0.2526438	2.229856	0.003030017	-0.0090428	2.141606	-0.003113734	-0.1004505	2.102675	-0.3247639	0.1299711	2.37462	-0.3159287	-0.5109512	2.451316	-0.2853422	-0.8802787	2.457634	-0.2917926	-0.9337099	2.386719	-0.1889444	0.1337992	2.325865	-0.1356563	-0.5364187	2.369032	-0.07497346	-0.8977771	2.488219	-0.005293758	-0.9565839	2.445545	0	0	0	0	0
129238	204	-0.296725	0.8510813	2.288764	-0.2447042	0.6687163	2.322611	-0.2532523	0.2806732	2.341134	-0.2547214	0.2029474	2.348512	-0.4026139	0.566822	2.439057	-0.429349	0.3587491	2.518213	-0.433183	0.1402325	2.592284	-0.4391347	0.1049059	2.602609	-0.1052777	0.5336677	2.283739	-0.01103874	0.2522336	2.228294	0.002772437	-0.009094936	2.14165	-0.003365466	-0.1003808	2.102737	-0.3236869	0.1295195	2.374583	-0.3159468	-0.511519	2.451421	-0.2853284	-0.880257	2.45762	-0.2917396	-0.9337023	2.386801	-0.1886506	0.1336322	2.325931	-0.1356661	-0.5364169	2.36903	-0.07598167	-0.8974461	2.487742	-0.005082081	-0.9567104	2.445549	0	0	0	0	0
129239	236	-0.2962583	0.8512307	2.289237	-0.2441564	0.669029	2.323478	-0.2528989	0.2803679	2.341241	-0.2543703	0.2025218	2.348515	-0.4022459	0.5666926	2.439054	-0.4289637	0.3583919	2.517725	-0.43283	0.1399375	2.59189	-0.4387797	0.104357	2.602295	-0.1053903	0.5333378	2.283531	-0.01112439	0.2520903	2.227828	-0.00071466	-0.008490637	2.144214	-0.005887947	-0.1002448	2.105306	-0.3232571	0.1293732	2.37431	-0.3159411	-0.5125828	2.451554	-0.2855898	-0.8808314	2.458069	-0.2917149	-0.9337266	2.386823	-0.1884553	0.1333455	2.325999	-0.1356113	-0.5365326	2.369096	-0.07702954	-0.8957326	2.486477	-0.004941134	-0.9568161	2.445606	0	0	0	0	0
129240	272	-0.2962234	0.8509594	2.289289	-0.2437894	0.6689329	2.323776	-0.2523642	0.2792821	2.341018	-0.2538237	0.2010965	2.348074	-0.4005659	0.5659201	2.437974	-0.4272531	0.3571191	2.515628	-0.4311686	0.1387644	2.589978	-0.4371151	0.1028143	2.60049	-0.105555	0.5326794	2.283279	-0.01224369	0.2518277	2.228812	-0.01127631	-0.00452326	2.154259	-0.01478206	-0.102923	2.115376	-0.3225141	0.1286638	2.373703	-0.3158118	-0.5130493	2.451696	-0.2853143	-0.8804801	2.457747	-0.2915806	-0.9339395	2.386407	-0.1882777	0.1321817	2.325547	-0.1361091	-0.5360242	2.368567	-0.07955678	-0.8952436	2.485821	-0.005201399	-0.9563807	2.446029	0	0	0	0	0
129241	304	-0.2962941	0.8520437	2.289651	-0.2433016	0.6701908	2.324229	-0.2523015	0.2794383	2.340772	-0.2538109	0.2012053	2.347672	-0.4000116	0.5660614	2.438178	-0.4269709	0.3571805	2.515557	-0.4308618	0.1388664	2.589951	-0.4368156	0.102766	2.600513	-0.1054744	0.5327854	2.283262	-0.01503556	0.2502128	2.231681	-0.01804203	-0.004192042	2.165467	-0.02990264	-0.1034578	2.134421	-0.3223639	0.1289319	2.372823	-0.3153527	-0.5138594	2.452002	-0.285138	-0.8811576	2.45838	-0.2914655	-0.934056	2.38589	-0.1884315	0.1324017	2.325047	-0.1353348	-0.5373876	2.369089	-0.07680792	-0.9018162	2.490598	-0.004319115	-0.9573147	2.445675	0	0	0	0	0
